,ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION,YEAR,total_pop,medhhinc,share_BA+,a35to64_share,metro_GDP,Cook_U3_ann_avg,which_ssa,in_ssa,num_renewals
10,2488245-20160830,2488245,336275,2,MARIA G CAHUE,BEAUTY AND HEALTH,2705 W 51ST ST 1ST,CHICAGO,IL,60632.0,14.0,19.0,14-19,9.0,1010,Limited Business License,904,Retail Sales of General Merchandise,2488245.0,ISSUE,08/29/2016,08/30/2016,08/30/2016,N,08/30/2016,06/15/2017,08/30/2016,08/30/2016,AAI,,,41.80091646,-87.691799519,"(41.80091646021564, -87.69179951881104)",2016,6464.0,44063.0,2.6,32.5,574603.1,6.041666666666668,0.0,0.0,0.0
11,2483710-20160830,2483710,316966,3,"OLD TOWN OIL, LLC","OLD TOWN OIL, LLC",1543 N WELLS ST 1ST,CHICAGO,IL,60610.0,27.0,54.0,27-54,18.0,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2483710.0,C_LOC,08/04/2016,08/04/2016,08/22/2016,N,08/30/2016,02/15/2018,08/30/2016,08/30/2016,AAI,,48.0,41.910408191,-87.63454009200001,"(41.91040819050054, -87.63454009171004)",2016,4579.0,117687.0,85.6,32.099999999999994,574603.1,6.041666666666668,48.0,1.0,1.0
12,2374115-20160916,2481313,352159,3,Genesys Works Chicago,Genesys Works Chicago,180 N WABASH AVE 6 600,CHICAGO,IL,60601.0,42.0,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2374115.0,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,1.0,41.885353704,-87.626413285,"(41.885353703982936, -87.62641328540737)",2016,12739.0,116587.0,81.2,39.7,574603.1,6.041666666666668,1.0,1.0,2.0
13,1144216-20040516,1480259,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/17/2004,04/23/2004,N,05/16/2004,05/15/2005,04/23/2004,04/23/2004,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2004,1640.0,9853.0,3.414634146341464,42.322834645669296,523290.0,6.833333333333332,5.0,1.0,8.0
14,22308-20070816,1827754,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/21/2007,07/24/2007,N,08/16/2007,08/15/2008,07/24/2007,07/25/2007,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2007,3506.0,60881.0,3.6,24.4,553134.7,5.25,0.0,0.0,12.0
15,1144216-20050516,1580174,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/23/2005,04/26/2005,N,05/16/2005,05/15/2006,04/26/2005,04/26/2005,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2005,1090.0,13996.0,5.3,25.4,534392.2,6.400000000000001,5.0,1.0,8.0
16,16570-20000216,76522,51755,1,THORNDALE CONSTRUCTION,THORNDALE CONSTRUCTION,11243  CHESAPEAKE PLAC   1ST,WESTCHESTER,IL,60154.0,,,,,1010,Limited Business License,,,16570.0,RENEW,,06/16/2000,08/21/2009,N,02/16/2000,02/15/2001,12/22/2003,08/24/2009,AAI,,,,,,2009,,,,,,,0.0,0.0,1.0
17,1144216-20020516,1229104,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/27/2002,05/06/2002,N,05/16/2002,05/15/2003,05/06/2002,05/07/2002,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2002,1640.0,9853.0,3.414634146341464,42.322834645669296,503971.1,7.6416666666666675,5.0,1.0,8.0
18,22308-20020816,1479004,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,03/05/2004,03/22/2004,N,08/16/2002,08/15/2003,,03/05/2004,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2004,3533.0,40321.0,1.5567506368525332,58.07473084230526,523290.0,6.833333333333332,0.0,0.0,12.0
19,1144216-20060516,1682780,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/27/2006,05/05/2006,N,05/16/2006,05/15/2007,05/05/2006,05/19/2006,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2006,1090.0,13996.0,5.3,25.4,545932.0,4.866666666666666,5.0,1.0,8.0
20,1169428-20160316,2444497,218178,1,SHINE-AWN INC,SHINE-AWN INC,6631 W 16TH ST,BERWYN,IL,60402.0,,,,,1010,Limited Business License,,,1169428.0,RENEW,,01/15/2016,03/22/2016,N,03/16/2016,03/15/2018,03/22/2016,03/23/2016,AAI,,,,,,2016,,,,,,,0.0,0.0,12.0
21,18136-19960216,84172,51944,1,P & W CONSTRUCTION CO INC,P & W CONSTRUCTION CO INC,5410  NEWPORT DR  40,ROLLING MEADOWS,IL,60008.0,,,,,1010,Limited Business License,,,18136.0,ISSUE,,06/20/2000,,N,02/16/1996,02/15/1997,12/22/2003,04/12/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,0.0
22,1144216-20080516,1894807,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/24/2008,04/29/2008,N,05/16/2008,05/15/2010,04/29/2008,05/05/2008,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2008,1090.0,13996.0,5.3,25.4,536770.8,6.433333333333334,5.0,1.0,8.0
23,2488347-20160830,2488347,409567,1,ROSA I. MONTOYA,SOUL MIND BODYWORK,3035 N MILWAUKEE AVE 1,CHICAGO,IL,60618.0,30.0,13.0,30-13,25.0,1010,Limited Business License,956 | 896,Provide Waxing Services | Skincare Services,2488347.0,ISSUE,08/30/2016,08/30/2016,08/30/2016,N,08/30/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,,41.936432173,-87.719244109,"(41.936432172755346, -87.71924410911548)",2016,3500.0,42990.0,24.8,34.2,574603.1,6.041666666666668,0.0,0.0,1.0
24,1144216-20120516,2142881,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/15/2012,04/26/2012,N,05/16/2012,05/15/2014,04/26/2012,05/23/2012,AAC,12/29/2012,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2012,2034.0,13624.0,9.7,31.2,545391.7,9.625,5.0,1.0,8.0
25,22308-20100816,2038617,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/15/2010,08/03/2010,N,08/16/2010,08/15/2012,08/03/2010,08/04/2010,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2010,4306.0,42337.0,9.9,37.6,522483.5,10.875,0.0,0.0,12.0
26,22308-20040816,1501019,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/30/2004,08/09/2004,N,08/16/2004,08/15/2005,08/09/2004,08/10/2004,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2004,3533.0,40321.0,1.5567506368525332,58.07473084230526,523290.0,6.833333333333332,0.0,0.0,12.0
27,25710-19960216,119268,52896,1,"PAT HAMILTON, INC",PAT HAMILTON CO.,17021 S MAGNOLIA DR  1ST,HAZEL CREST,IL,60429.0,,,,,1010,Limited Business License,,,25710.0,ISSUE,,06/20/2000,,N,02/16/1996,02/15/1997,12/22/2003,04/12/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,0.0
28,2042448-20160616,2460910,291461,3,"PROJECT: VISION , INC.","PROJECT : VISION , INC",2301 S ARCHER AVE 1 1,CHICAGO,IL,60616.0,25.0,18.0,25-18,9.0,1010,Limited Business License,,,2042448.0,RENEW,,04/15/2016,06/21/2016,N,06/16/2016,06/15/2018,06/21/2016,06/22/2016,AAC,08/30/2016,,41.850842944,-87.63873424399999,"(41.85084294374687, -87.63873424399071)",2016,6821.0,26905.0,23.2,36.7,574603.1,6.041666666666668,0.0,0.0,1.0
29,2004297-20110819,2004297,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1474,Package Goods,,,2004297.0,ISSUE,11/10/2009,07/08/2011,06/08/2011,N,08/19/2011,09/15/2013,08/19/2011,08/19/2011,AAC,10/19/2011,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2011,2034.0,13624.0,9.7,31.2,529859.9,10.441666666666666,5.0,1.0,0.0
30,1144216-20100516,2022509,147,63,WALGREEN CO.,Walgreens # 05192,9148 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1144216.0,RENEW,,03/15/2010,05/04/2010,N,05/16/2010,05/15/2012,05/04/2010,05/05/2010,AAI,,5.0,41.728621736,-87.551366466,"(41.72862173556932, -87.55136646594693)",2010,2034.0,13624.0,9.7,31.2,522483.5,10.875,5.0,1.0,8.0
31,1926983-20080822,1926983,336275,1,MARIA G CAHUE,VIDA NUEVA,4249 S ARCHER AVE 1ST,CHICAGO,IL,60632.0,15.0,23.0,15-23,9.0,1010,Limited Business License,,,1926983.0,ISSUE,08/22/2008,08/22/2008,08/22/2008,N,08/22/2008,06/15/2009,08/22/2008,08/22/2008,AAI,,39.0,41.816122223,-87.7007033,"(41.81612222264234, -87.70070330034775)",2008,11232.0,47357.0,12.1,22.0,536770.8,6.433333333333334,39.0,1.0,0.0
32,2158055-20140716,2330377,247093,2,"TRELA ROOFING & REMODELING, CO.",TRELA ROOFING CO.,3148 W 92ND ST,EVERGREEN PARK,IL,60805.0,,,,,1010,Limited Business License,,,2158055.0,RENEW,,05/15/2014,02/11/2015,N,07/16/2014,07/15/2016,02/11/2015,02/13/2015,AAI,,,,,,2015,,,,,,,0.0,0.0,2.0
33,22308-20120816,2159258,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/15/2012,07/05/2012,N,08/16/2012,08/15/2014,07/05/2012,07/06/2012,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2012,4306.0,42337.0,9.9,37.6,545391.7,9.625,0.0,0.0,12.0
34,2488343-20160830,2488343,409562,1,TRANSITIONAL DEVELOPMENT REALTY INC.,TRANSITIONAL DEVELOPMENT REALTY INC.,29 W 159TH ST,HARVEY,IL,60426.0,,,,,4404,Regulated Business License,901,"Heating, Ventilation and Air Conditioning Services - Residential",2488343.0,ISSUE,08/30/2016,08/30/2016,08/30/2016,N,08/30/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,,,,,2016,,,,,,,0.0,0.0,0.0
35,2469408-20160830,2469408,406724,1,MO MO HOUSE CORP.,NEPAL HOUSE - NAPALESE CUISINE,2601 W DEVON AVE,CHICAGO,IL,60659.0,50.0,43.0,50-43,24.0,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2469408.0,ISSUE,05/20/2016,07/05/2016,07/05/2016,N,08/30/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,43.0,41.99753534,-87.69482177,"(41.99753534020119, -87.69482177020934)",2016,7857.0,47207.0,32.9,41.7,574603.1,6.041666666666668,43.0,1.0,1.0
36,22308-20050816,1602901,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/21/2005,07/19/2005,N,08/16/2005,08/15/2006,07/19/2005,07/20/2005,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2005,3506.0,60881.0,3.6,24.4,534392.2,6.400000000000001,0.0,0.0,12.0
37,22308-20080816,1911244,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/16/2008,08/18/2008,N,08/16/2008,08/15/2010,08/18/2008,08/19/2008,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2008,3506.0,60881.0,3.6,24.4,536770.8,6.433333333333334,0.0,0.0,12.0
38,27700-20160416,2447963,30837,1,ROBERTO ALDAY,ROBERTO JEWELRY,5 S WABASH AVE  506,CHICAGO,IL,60603.0,42.0,9.0,42-9,1.0,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,27700.0,RENEW,,02/15/2016,08/30/2016,N,04/16/2016,04/15/2018,08/30/2016,08/30/2016,AAI,,,41.881921563,-87.62606306,"(41.88192156256051, -87.62606305984501)",2016,3167.0,160833.0,88.9,17.4,574603.1,6.041666666666668,0.0,0.0,12.0
39,2488342-20160830,2488342,409561,1,LOTUS CLEANERS & SONS INC.,LOTUS CLEANERS & SONS,1800 W ADDISON ST 1ST,CHICAGO,IL,60613.0,47.0,27.0,47-27,19.0,1010,Limited Business License,694,Laundry Service - Drop Off Only,2488342.0,ISSUE,08/30/2016,08/30/2016,08/30/2016,N,08/30/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,38.0,41.947032153,-87.67411945399999,"(41.94703215253327, -87.6741194538038)",2016,2238.0,104955.0,81.6,38.99999999999999,574603.1,6.041666666666668,38.0,1.0,1.0
40,22308-20140816,2336012,29481,1,BELL OIL TERMINAL INC,Bell Oil Terminal LLC,3741 S PULASKI RD  1,CHICAGO,IL,60623.0,14.0,,14-,8.0,1010,Limited Business License,,,22308.0,RENEW,,06/15/2014,08/13/2014,N,08/16/2014,08/15/2016,08/13/2014,08/14/2014,AAI,,,41.82531993,-87.72395999700001,"(41.82531992987547, -87.72395999659746)",2014,4306.0,42337.0,9.9,37.6,552838.1,7.508333333333334,0.0,0.0,12.0
41,2488333-20160830,2488333,409556,1,DON CROW SALON AND SPA LLC,DON CROW SALON AND SPA,436 W SURF ST 1,CHICAGO,IL,60657.0,44.0,24.0,44-24,19.0,1010,Limited Business License,144 | 894 | 895 | 896,"Hair, Nail, and Skin Care Services | Hair Services | Nail Services | Skincare Services",2488333.0,ISSUE,08/30/2016,08/30/2016,08/30/2016,N,08/30/2016,09/15/2018,08/30/2016,08/30/2016,AAI,,,41.934426631,-87.640830349,"(41.93442663108382, -87.64083034945163)",2016,4140.0,74805.0,86.6,24.9,574603.1,6.041666666666668,0.0,0.0,1.0
42,2431696-20170116,2500207,377912,2,LIMRA WIRELESS INC.,WIRELESS WORLD,2415 W DEVON AVE 1ST,CHICAGO,IL,60659.0,50.0,43.0,50-43,24.0,1010,Limited Business License,922 | 652,Retail Sales of Cell Phones and Accessories | Electronic Equipment Repair,2431696.0,RENEW,,11/15/2016,11/28/2016,N,01/16/2017,01/15/2019,11/28/2016,01/17/2017,AAI,,43.0,41.997607013,-87.690533016,"(41.99760701293176, -87.69053301605958)",2017,7857.0,47207.0,32.9,41.7,583137.2,5.05,43.0,1.0,2.0
43,2496579-20170117,2496579,401489,1,THIRD DEGREE CHICAGO LLC,STUDIO III,"648 N CLARK ST LL, 1-2",CHICAGO,IL,60654.0,42.0,46.0,42-46,18.0,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2496579.0,ISSUE,11/04/2016,11/22/2016,11/22/2016,N,01/17/2017,10/15/2017,01/13/2017,01/17/2017,AAI,,,,,,2017,,,,,,,0.0,0.0,0.0
44,53383-20150316,2375632,38691,1,MEE INC,MEE INC,11845 W LARAWAY RD  1,FRANKFORT,IL,60423.0,,,,,1010,Limited Business License,,,53383.0,RENEW,,01/16/2015,03/12/2015,N,03/16/2015,03/15/2017,03/12/2015,03/13/2015,AAI,,,,,,2015,,,,,,,0.0,0.0,12.0
45,36408-19970216,168920,54389,1,STEVEN FELDMAN,STEVEN FELDMAN,450  SKOKIE BLVD  904,NORTHBROOK,IL,60062.0,,,,,1060,Auctioneer,,,36408.0,ISSUE,,06/20/2000,,N,02/16/1997,02/15/1998,12/22/2003,04/12/2006,AAI,,,,,,2006,,,,,,,0.0,0.0,1.0
46,2484194-20160831,2484194,409085,1,"VIENNA SERVICES, INC.",CAFE VIENNA,2523 N CLARK ST 1ST,CHICAGO,IL,60614.0,43.0,27.0,43-27,19.0,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2484194.0,ISSUE,08/12/2016,08/12/2016,08/12/2016,N,08/31/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,23.0,41.928487374,-87.642044357,"(41.928487374216466, -87.64204435669477)",2016,2879.0,67000.0,77.8,28.5,574603.1,6.041666666666668,23.0,1.0,0.0
47,2177466-20140916,2347949,373032,1,"77 West Wacker Drive, L.L.C.","77 West Wacker Drive, L.L.C.",77 W WACKER DR 40 4050,CHICAGO,IL,60601.0,42.0,9.0,42-9,1.0,1002,Accessory Garage,726,"Provide Parking Spaces For a Fee - to Residents, Tenants, Users, Employees and/or Guests (Not Available or Advertised to the Public)",2177466.0,RENEW,,07/15/2014,07/31/2014,N,09/16/2014,09/15/2016,07/31/2014,08/01/2014,AAI,,,41.886707738,-87.63079457799999,"(41.88670773797291, -87.6307945777937)",2014,5266.0,78517.0,61.6,32.3,552838.1,7.508333333333334,0.0,0.0,1.0
48,9952-20010516,1127139,4535,14,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER #8309,57 E CHICAGO AVE,CHICAGO,IL,60611.0,42.0,19.0,42-19,18.0,1010,Limited Business License,,,9952.0,RENEW,,03/16/2001,,N,05/16/2001,06/06/2001,05/23/2002,06/06/2002,AAC,04/02/2003,,41.896599125,-87.625990339,"(41.896599125135566, -87.62599033912518)",2002,3232.0,75241.0,32.11633663366337,50.97970608817355,503971.1,7.6416666666666675,0.0,0.0,0.0
49,1093543-20090316,1949103,4535,49,"FOOT LOCKER RETAIL, INC.",KIDS FOOT LOCKER #46412,3900 W MADISON ST,CHICAGO,IL,60624.0,28.0,37.0,28-37,11.0,1010,Limited Business License,,,1093543.0,RENEW,,01/15/2009,03/19/2009,N,03/16/2009,03/15/2011,03/19/2009,03/20/2009,AAI,,,41.880865156,-87.723375968,"(41.880865155903734, -87.7233759677506)",2009,1432.0,9660.0,6.4,16.2,516755.6,10.55,0.0,0.0,12.0
50,9943-20030516,1340357,4535,5,"FOOT LOCKER RETAIL, INC.",LADY FT LOC #6341,7601 S CICERO AVE  SPACE,CHICAGO,IL,60652.0,18.0,22.0,18-22,8.0,1010,Limited Business License,,,9943.0,RENEW,,03/25/2003,05/16/2003,N,05/16/2003,05/15/2004,05/16/2003,05/16/2003,AAI,,,41.754660124000004,-87.741384759,"(41.75466012439374, -87.74138475860521)",2003,3586.0,47656.0,7.975460122699388,57.297063903281526,510351.3,7.458333333333332,0.0,0.0,10.0
51,1444282-20040516,1480918,4535,63,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER # 6972,6465 W DIVERSEY AVE,CHICAGO,IL,60707.0,36.0,52.0,36-52,25.0,1010,Limited Business License,,,1444282.0,RENEW,,03/17/2004,05/27/2004,N,05/16/2004,05/15/2005,05/27/2004,05/28/2004,AAI,,,41.930847334,-87.788070456,"(41.930847333658065, -87.78807045587668)",2004,2279.0,49583.0,6.537955243527862,55.23290986085905,523290.0,6.833333333333332,0.0,0.0,8.0
52,1093544-20050516,1580950,4535,47,"FOOT LOCKER RETAIL, INC.",FOOT LOCKER,9059 S COMMERCIAL AVE,CHICAGO,IL,60617.0,10.0,25.0,10-25,4.0,1010,Limited Business License,,,1093544.0,RENEW,,03/23/2005,04/21/2005,N,05/16/2005,05/15/2006,04/21/2005,04/22/2005,AAI,,5.0,41.730169049000004,-87.55111259,"(41.730169048795666, -87.55111259003853)",2005,2601.0,30965.0,3.5,24.7,534392.2,6.400000000000001,5.0,1.0,6.0
