ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME
2003,8,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA #1643
2003,9,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA #1651
2003,10,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA #1648
2003,14,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR ENTERPRISES INC
2003,16,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA #1715
2003,19,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA
2003,20,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA
2003,22,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA
2003,23,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA
2003,24,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CAESAR PIZZA #1729
2003,27,"LITTLE CAESAR ENTERPRISES, INC.","LITTLE CAESAR ENTERPRISES, INC."
2003,28,"LITTLE CAESAR ENTERPRISES, INC.","LITTLE CAESAR ENTERPRISES, INC."
2003,30,"LITTLE CAESAR ENTERPRISES, INC.",LITTLE CEASARS #1744
2074,2,SSI(U.S.) INC.,SPENCER STUART
2085,1,RUBIN MANUFACTURING INC,RUBIN MANUFACTURING INC
2086,1,M T TRANSIT INC,M T TRANSIT INC
2091,1,MAT LEASING INC,MAT LEASING INC
2092,3,"R & R GOLDMAN & ASSOCIATES, INC.",THE DISCOVERY
2092,5,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING CO
2092,6,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING COMPANY
2092,8,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING CO
2092,9,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING CO
2092,10,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING CO.
2092,11,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING CO.
2092,12,"R & R GOLDMAN & ASSOCIATES, INC.",DISCOVERY CLOTHING CO.
2122,1,C D E BODY SHOP II INC,C D E BODY SHOP II INC
2122,2,C D E BODY SHOP II INC,C.D.E. BODY SHOP III
2155,3,NEW TELEREP INC,"CoxReps, Inc."
2155,3,NEW TELEREP INC,"CoxReps, Inc."
2156,11,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #1184
2156,16,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #1147
2156,22,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #6494
2156,23,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER #3903
2156,28,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER #9119
2156,31,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER #9810
2156,34,GENERAL NUTRITION CORPORATION,GENERAL  NUTRITION CENTER    STORE # 9911
2156,35,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER STORE #9852
2156,39,GENERAL NUTRITION CORPORATION,General Nutrition Center #7739
2156,41,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER # 2025
2156,45,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER # 61
2156,46,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CENTER # 1658
2156,47,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP # 1683
2156,48,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #1720
2156,49,GENERAL NUTRITION CORPORATION,GENERAL NUTRITION CORP #2921
2172,1,"COLUMBUS PARK, INC.",Generations at Columbus Park
2180,8,NANDORF INC,UNIQUE THRIFT STORE
2180,10,NANDORF INC,UNIQUE THRIFT STORE
2180,11,NANDORF INC,UNIQUE THRIFT STORE
2180,13,NANDORF INC,UNIQUE THRIFT STORE
2221,2,"C AND P FRIED RICE, INC.",C & P FRIED RICE 2
2678,1,"LAWN BOWLING, INC.",LAWN BOWLING
2681,2,"MORY'S, LTD.",PIPPIN'S TAVERN
2699,1,SIDNEY VANCHIERS & JOS RIGGIO,SIDNEY VANCHIERS & JOS RIGGIO
2716,1,"EL POPOCATAPETL INDUSTRIES, INC.",EL POPOCATELPETL IND INC
2716,2,"EL POPOCATAPETL INDUSTRIES, INC.",EL POPOCATEPETL IND
2716,3,"EL POPOCATAPETL INDUSTRIES, INC.",EL POPOCATEPETL IND INC
2717,1,SCHULZE & BURCH BISCUIT CO,SCHULZE & BURCH BISCUIT CO
2729,1,JOHN PTICEK,JOHN PTICEK
2733,1,VENUS TRAVEL INC,VENUS TRAVEL INC
2738,1,"HEATMASTERS MECHANICAL, INC.","HEATMASTERS MECHANICAL, INC."
2744,1,PRIMROSE CANDY CO,PRIMROSE CANDY CO
2753,1,"WRONGS, INC.",WRONGS
2762,1,HON KEE REST INC,HON KEE REST INC
2764,1,"CHICAGO TRATTORIA ASSOCIATES, INC.","CHICAGO TRATTORIA ASSOCIATES, INC."
2764,1,"CHICAGO TRATTORIA ASSOCIATES, INC.","CHICAGO TRATTORIA ASSOCIATES, INC."
2767,1,PETER MASTERS,MASTERS PANCAKE HOUSE
2780,1,TULSA POWER SERVICE INC,TULSA POWER SERVICE INC
2781,1,"ART'S AUTO REBUILDERS, INC.",ART'S AUTO REBUILDERS
2795,1,PLANTS INC,PLANTS INC
2795,1,PLANTS INC,PLANTS INC
2798,3,CHICAGO FLOWER EXCHANGE INC,CHICAGO FLOWER EXCHANGE INC
2800,2,DIVERSEY YACHT CLUB INC.,DIVERSEY YACHT CLUB
2808,1,ZENITH FABRICATING COMPANY,ZENITH FABRICATING
2815,1,"GREYHOUND LINES, INC.",GREYHOUND LINES INC
2815,2,"GREYHOUND LINES, INC.",GREYHOUND LINES INC
2815,3,"GREYHOUND LINES, INC.",GREYHOUND LINES INC
2815,4,"GREYHOUND LINES, INC.",GREYHOUND LINES INC.
2822,1,CALUMET HARBOR LUMBER CO,CALUMET HARBOR LUMBER CO
2825,1,COLUMBIA PIPE & SUPPLY CO,COLUMBIA PIPE & SUPPLY CO
2842,2,ALLIED METAL CO.,ALLIED METAL CO INC
2842,4,ALLIED METAL CO.,ALLIED METAL COMPANY
2843,1,POLLARD BROTHERS MANUFACTURING CO INC,POLLARD BROS MFG CO INC
2848,1,ROSEBUD FARM INC,ROSEBUD FARM INC
2850,1,HORWEEN LEATHER CO,HORWEEN LEATHER CO
2852,1,M-K SIGNS INC,M-K SIGNS
2853,1,JAY-KAY AUTO BODY INC,"JAY-KAY AUTO BODY, INC"
2861,1,RAY BUICK INC,RAY BUICK INC
2873,1,STANLEY SPRING & STAMPING CORP,STANLEY SPRING & STAMPING
2875,4,"BRINK'S, INCORPORATED",BRINKS INCORPORATE
2883,1,WM HUBER CABINET WKS INC,WM HUBER CABINET WKS INC
2924,1,MARBAR INC,WOLFY'S
2929,2,DLG INC,BURGER KING #142
2944,3,WM. WRIGLEY JR. COMPANY,WM WRIGLEY JR. COMPANY
2944,6,WM. WRIGLEY JR. COMPANY,WM WRIGLEY JR COMPANY
2944,7,WM. WRIGLEY JR. COMPANY,WM WRIGLEY JR COMPANY
2951,1,EASTERN STYLE PIZZA II LT,EASTERN STYLE PIZZA II LT
2960,1,MANSCOUNTRY CHICAGO INC,MANSCOUNTRY CHICAGO INC
2962,7,"THOMAS M. TUNNEY ENTERPRISE, LTD.",ANN SATHER RESTAURANT
2962,9,"THOMAS M. TUNNEY ENTERPRISE, LTD.",ANN SATHER'S CAFE
2962,10,"THOMAS M. TUNNEY ENTERPRISE, LTD.",Ann Sather Restaurant Granville
2979,1,DAVID ARNOUX,HEROS
2985,1,M & T CHOP SUEY CORPORATION,YUMMY YUMMY ASIAN CUISINE
3007,1,ZIKAINAN NURSING HOME INC,ALL AMERICAN NURSING HOME
3013,1,THE BAGEL INC,THE BAGEL INC
3019,1,SOUTHTOWN HEALTH FOODS,SOUTHTOWN HEALTH FOODS
3024,1,LAKE FRONT RESTAURANT INC,STELLA'S DINER
3032,1,OLD FASHIONED DONUTS INC,OLD FASHIONED DONUTS INC
3036,1,LA CANOPY INC,MONASTERO'S RISTORANTE
3036,2,LA CANOPY INC,MONASTERO'S RISTORANTE
3039,1,GLENCREST NURSING & REHAB CENTER,GLENCREST NURSING & REHAB CTR
3044,1,ALEHANDROS POULAKIS,ATHENIAN ROOM RESTAURANT
3050,1,CHUCK'S PIZZA & RESTAURANT,CHUCK'S PIZZA
3062,1,BOB-O-RINO'S INC,BOB-O-RINO'S
3063,1,ANTHONY DOMINICI,TONY'S ITALIAN BEEF
3079,6,"5 STAR FLASH, INC.","5 STAR TAXI ASSOCIATION, INC."
3083,2,PVS CHEMICAL SOLUTIONS INC,PVS CHEMICAL SOLUTIONS INC
3084,1,"ECUADOR RESTAURANT, INC.",ECUADOR RESTAURANT INC
3085,1,JAKE'S PUP IN THE RUF INC,JAKE'S PUP IN THE RUF INC
3086,1,OBBIES PIZZA INC,OBBIES PIZZA
3093,2,"C & S PIZZERIA, INC.",PETE'S PIZZERIA
3096,2,BOWLER-MCGANN CORP.,BEVERLY WOODS RESTAURANT
3112,1,L'APPETITO IMP ITALIAN FD INC,L'APPETITO IMP ITALIAN FDS INC
3117,1,TEL AVIV RESTAURANT INC,TEL AVIV RESTAURANT INC
3133,2,L L PACKING CO,L & L PROVISIONS
3145,1,ALLENDORFER ROOFING CO INC,ALLENDORFER ROOFING CO INC
3157,7,STRUBE CELERY & VEG. CO.,STRUBE CELERY & VEG. CO
3158,1,JAMES CALVETTI MEATS INC,JAMES CALVETTI MEATS INC
3165,1,"EAST BALT. COMMISSARY, LLC",EAST BALT COMMISSARY
3169,1,EDDIE W MIRANDA,EDDIE & SON FOOD &LIQ.
3181,1,"THE STAR OF SIAM, INC.","THE STAR OF SIAM, INC."
3185,1,ABBASSI FOOD & LIQUORS INC,ABBASSI FOOD & LIQUOR INC
3188,1,CALVIN SEYMOURE AND ESTHER B RIDDLE-SEYMOURE,SEYMOUR RECREATIONS
3188,1,CALVIN SEYMOURE AND ESTHER B RIDDLE-SEYMOURE,SEYMOUR RECREATIONS
3190,1,CARNICERIA MARIBEL INC,CARNICERIA MARIBEL INC
3199,1,"THE CRIMSON LION, LTD.",RED LION PUB
3204,2,"SHRIMP SHOP, INC.",PASTA D'ARTE
3204,2,"SHRIMP SHOP, INC.",PASTA D'ARTE
3219,1,"WISE FOOLS PUB, LTD.",HOOK AND LADDER BAR
3222,2,"GABE'S PLACE, INC.",CAFE BA BA REEBA
3241,1,KAMDAR PLAZA INC,KAMDAR PLAZA INC
3247,1,DANIELSON FOOD PROD INC,DANIELSON FOOD PROD INC
3256,1,"B & G HEINZ PHARMACY, INC","B & G HEINZ PHARMACY, INC"
3293,2,HEE SOON KANG,KUM HO HERB CENTER
3296,1,"SPIRITS AND BREW, INC.",MISKA'S
3296,1,"SPIRITS AND BREW, INC.",MISKA'S
3296,2,"SPIRITS AND BREW, INC.",MISKA'S LIQUOR & DELI
3296,2,"SPIRITS AND BREW, INC.",MISKA'S LIQUOR & DELI
3297,1,BIG APPLE FINER FOODS INC,BIG APPLE FINER FOODS INC
3299,1,THE FISH KEG INC,THE FISH KEG INC
3310,1,"HAGEN'S FISH MARKET, INC",HAGEN FISH MKT INC
3323,1,GERTIES ICE CREAM INC,GERTIE'S ICE CREAM INC
3326,1,ROBYAN INC,PAULSON'S PAINT & HARDWARE
3327,1,ARMITAGE HDWE & BLD SUPPLY INC,ARMITAGE HDWE & BLDG SUPP
3329,1,CRAFTY BEAVER HOME CENTER #4 INC,CENTRAL LUMBER CO INC
3334,1,RUSSO HARDWARE & PAINT INC,RUSSO HARDWARE & PAINT INC
3340,1,CHICAGO TRUE VALUE HARDWARE INC,CHGO TRUE VALUE HARDWARE INC
3345,1,L & P FOODS,L & P FOODS
3355,1,GLEN ELSTON NURSNG & REHAB CENTER,GLEN ELSTON NURSNG & REHAB CTR
3357,1,JACK KELLER COMPANY,JACK KELLER COMPANY
3358,1,FORTY SIX TWENTY ONE CORPORATION INCORPORATED,MADO HEALTHCARE-UPTOWN
3367,2,INTERSTATE BLOOD BANK INC,INTERSTATE BLOOD BANK INC
3375,1,COOK COUNTY LUMBER CO,COOK COUNTY LUMBER CO
3389,1,BELRICH INC,BELRICH INC
3397,1,MID WEST SCREW PROD INC,MID WEST SCREW PROD INC
3418,1,RYCOLINE PRODUCTS INC,RYCOLINE PRODUCTS INC
3419,1,LUSTER PRODUCTS CO INC,LUSTER PRODUCTS
3420,1,SARCO PUTTY CO,SARCO PUTTY CO
3427,1,"NORFORD HOTEL, INC",NORFORD HOTEL INC SRO
3439,1,"DIVISION & WESTERN GARAGE, INC.",ROSCOE WESTERN
3439,1,"DIVISION & WESTERN GARAGE, INC.",ROSCOE WESTERN
3460,6,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING CO
3460,10,PEOPLES AUTO PARKING COMPANY,peoples auto parking co
3460,12,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING CO
3460,14,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING
3460,15,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING
3460,16,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING
3460,17,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING COMPANY
3460,19,PEOPLES AUTO PARKING COMPANY,PEOPLES AUTO PARKING COMPANY
3469,2,"AVIATION PROFESSIONALS, INC.","AVIATION PROFESSIONALS, INC."
3474,1,"FIESTA MEXICANA, CORP.",FIESTA MEXICANA CORP
3488,2,"ARTISTS FRAME SERVICE, INC.",JAYSON HOME
3488,5,"ARTISTS FRAME SERVICE, INC.",ARTIST FRAME SERVICE
3488,7,"ARTISTS FRAME SERVICE, INC.",JAYSON HOME
3488,8,"ARTISTS FRAME SERVICE, INC.",ARTISTS' FRAME SERVICE INC.
3493,2,SINBAD'S CASTLE ARCADE LIMITED,SINBAD'S CASTLE ARCADE LIMITED
3494,1,NATIONAL PETROLEUM CO,NATIONAL PETROLEUM CO
3497,2,"JONES & CLEARY ROOFING CO, INC.",JONES & CLEARY ROOFING CO INC
3498,1,"BERTEAU-LOWELL PLATING WORKS, INC",BERTEAU-LOWELL PLATING WORKS INC
3508,1,MATCHLESS METAL POLISH CO,MATCHLESS METAL POLISH CO
3518,2,CENTURY SUPPLY CO,CENTURY SUPPLY COMPANY
3518,3,CENTURY SUPPLY CO,CENTURY SUPPLY CO
3522,1,VICTORY SPUD SERVICE,VICTORY SPUD SERVICE
3529,3,THE GAP INC.,THE GAP STORE 551
3529,20,THE GAP INC.,THE GAP STORE 97251
3529,25,THE GAP INC.,THE GAP STORE #569
3529,28,THE GAP INC.,"THE GAP, INC.  STORE 503"
3529,29,THE GAP INC.,the gap store #576
3529,39,THE GAP INC.,BABY GAP #7493
3529,43,THE GAP INC.,GAP #1456
